seq,date,num,won,1,2,3,4,5,6
964,2021.5.22,10,"2,345,861,063",6,21,36,38,39,43
963,2021.5.15,15,"1,476,478,125",6,12,19,23,34,42
962,2021.5.8,12,"1,940,906,094",1,18,28,31,34,43
961,2021.5.1,9,"2,575,231,209",11,20,29,31,33,42
960,2021.4.24,10,"2,401,133,213",2,18,24,30,32,45
959,2021.4.17,8,"3,015,312,891",1,14,15,24,40,41
958,2021.4.10,15,"1,596,119,675",2,9,10,16,35,37
957,2021.4.3,11,"2,126,634,137",4,15,24,35,36,40
956,2021.3.27,11,"2,022,982,671",10,11,20,21,25,41
955,2021.3.20,12,"2,023,170,188",4,9,23,26,29,33
954,2021.3.13,10,"2,478,795,900",1,9,26,28,30,41
953,2021.3.6,14,"1,640,636,009",7,9,22,27,37,42
952,2021.2.27,9,"2,713,699,834",4,12,22,24,33,41
951,2021.2.20,14,"1,747,552,661",2,12,30,31,39,43
950,2021.2.13,8,"3,281,920,500",3,4,15,22,28,40
949,2021.2.6,10,"2,458,569,713",14,21,35,36,40,44
948,2021.1.30,11,"2,188,548,716",13,18,30,31,38,41
947,2021.1.23,18,"1,275,855,750",3,8,17,20,27,35
946,2021.1.16,11,"2,157,656,182",9,18,19,30,34,40
945,2021.1.9,13,"1,765,554,491",9,10,15,30,33,37
944,2021.1.2,13,"1,961,836,356",2,13,16,19,32,33
943,2020.12.26,7,"3,435,045,108",1,8,13,36,44,45
942,2020.12.19,6,"3,761,680,313",10,12,18,35,42,43
941,2020.12.12,16,"1,347,297,422",12,14,25,27,39,40
940,2020.12.5,8,"2,846,071,079",3,15,20,22,24,41
939,2020.11.28,13,"1,708,363,039",4,11,28,39,42,45
938,2020.11.21,10,"2,249,466,563",4,8,10,16,31,36
937,2020.11.14,11,"2,058,420,819",2,10,13,22,29,40
936,2020.11.7,14,"1,492,069,179",7,11,13,17,18,29
935,2020.10.31,13,"1,711,055,424",4,10,20,32,38,44
934,2020.10.24,4,"5,765,772,844",1,3,30,33,36,39
933,2020.10.17,8,"2,927,797,079",23,27,29,31,36,45
932,2020.10.10,7,"3,390,022,983",1,6,15,36,37,38
931,2020.10.3,8,"2,957,108,063",14,15,23,25,35,43
930,2020.9.26,8,"2,832,418,829",8,21,25,38,39,44
929,2020.9.19,16,"1,308,035,157",7,9,12,15,19,23
928,2020.9.12,7,"3,134,591,358",3,4,10,20,28,44
927,2020.9.5,6,"3,714,203,875",4,15,22,38,41,43
926,2020.8.29,10,"2,032,490,663",10,16,18,20,25,31
925,2020.8.22,12,"1,771,080,532",13,24,32,34,39,42
924,2020.8.15,9,"2,382,430,667",3,11,34,42,43,44
923,2020.8.8,8,"2,667,554,625",3,17,18,23,36,41
922,2020.8.1,6,"3,417,904,500",2,6,13,17,27,43
921,2020.7.25,17,"1,232,573,405",5,7,12,22,28,41
920,2020.7.18,7,"3,120,260,197",2,3,26,33,34,43
919,2020.7.11,5,"4,305,150,450",9,14,17,18,42,44
918,2020.7.4,18,"1,117,622,646",7,11,12,31,33,38
917,2020.6.27,10,"2,144,799,638",1,3,23,24,27,43
916,2020.6.20,11,"2,025,384,341",6,21,22,32,35,36
915,2020.6.13,6,"3,518,640,500",2,6,11,13,22,37
914,2020.6.6,11,"1,950,005,557",16,19,24,33,42,44
913,2020.5.30,16,"1,338,755,602",6,14,16,21,27,37
912,2020.5.23,14,"1,493,500,581",5,8,18,21,22,38
911,2020.5.16,10,"2,113,538,625",4,5,12,14,32,42
910,2020.5.9,21,"941,316,375",1,11,17,27,35,39
909,2020.5.2,11,"2,021,062,875",7,24,29,30,34,35
908,2020.4.25,8,"2,834,856,141",3,16,21,22,23,44
907,2020.4.18,7,"3,165,059,036",21,27,29,38,40,44
906,2020.4.11,9,"2,472,607,250",2,5,14,28,31,32
